Vacina/Soro/Imunoglobulina,Tipo/Composição,Fabricante(s),Apresentação (Doses por Frasco),Volume por Dose,Grupos-Alvo Principais,Esquema de Dosagem
BCG,Viva atenuada (Mycobacterium bovis),Serum Institute of India,Multidose (ampola liofilizada + diluente; tipicamente 10-20 doses por frasco no PNI),"0,05 mL (<1 ano); 0,1 mL (≥1 ano)",Recém-nascidos e contatos de hanseníase,"Dose única ao nascer ou o mais cedo possível (até 4 anos, 11 meses e 29 dias)"
Hepatite B (HB recombinante),Recombinante (antígeno de superfície HBsAg),Instituto Butantan / LG Chem,Multidose (tipicamente 20 doses por frasco no PNI) ou unidose,"0,5 mL (pediátrica, ≤15 anos); 1,0 mL (≥16 anos)","Recém-nascidos, crianças, adultos, gestantes","3 doses (0, 1, 6 meses); dose ao nascer para prevenção perinatal"
Pentavalente (Penta: DTP + Hib + HB),"Adsorvida combinada (toxoides diftérico, tetânico, pertussis; Hib conjugada; HB recombinante)",Serum Institute of India / Panacea Biotec,Multidose (tipicamente 10 doses por frasco no PNI),"0,5 mL",Crianças <7 anos,"3 doses (2, 4, 6 meses)"
"VIP (Pólio inativada tipos 1,2,3)",Inativada,Bio-Manguinhos / Sanofi Pasteur,Multidose ou unidose (pré-carregada),"0,5 mL",Crianças,"3 doses (2, 4, 6 meses) + reforço aos 15 meses"
VRH (Rotavírus humano G1 P[8] atenuado),Viva atenuada,Bio-Manguinhos / GSK,Unidose (aplicador pré-carregado),"1,5 mL (conteúdo total)",Crianças,"2 doses (2, 4 meses)"
VPC10 (Pneumocócica 10-valente conjugada),Conjugada (10 sorotipos de S. pneumoniae),Bio-Manguinhos / GSK,Unidose,"0,5 mL",Crianças,"2 doses (2, 4 meses) + reforço aos 12 meses"
Men C (Meningocócica C conjugada),Conjugada (polissacarídeo de N. meningitidis C),FUNED / GSK,Unidose,"0,5 mL",Crianças,"2 doses (3, 5 meses) + reforço aos 12 meses com MenACWY"
"Influenza Trivalente (inativada, fragmentada)",Inativada,Instituto Butantan,Multidose ou unidose,"0,25 mL (6 meses-2 anos); 0,5 mL (≥3 anos)","Crianças 6 meses-5 anos, gestantes, idosos ≥60, grupos de risco",Dose anual; 2 doses na primovacinação para crianças <9 anos
COVID-19 (mRNA),mRNA,Pfizer (Comirnaty) / Moderna (Spikevax),Multidose (Pfizer <5 anos: 10 doses; outros: 6 doses por frasco),"Pfizer: 0,2 mL (6 meses-4 anos); 0,3 mL (≥5 anos); Moderna: 0,25 mL (6 meses-11 anos); 0,5 mL (≥12 anos)","Crianças 6 meses-4 anos, gestantes, idosos ≥60, imunocomprometidos","Pfizer: 3 doses (6,7,9 meses); Moderna: 2 doses (6,7 meses); doses periódicas para grupos de risco"
VFA (Febre Amarela atenuada),Viva atenuada (cepa 17DD),Bio-Manguinhos,Multidose (tipicamente 5 ou 10 doses por frasco no PNI),"0,5 mL","Crianças ≥9 meses em áreas endêmicas, viajantes",1 dose aos 9 meses + reforço aos 4 anos
Hepatite A,Inativada,Não especificado (geralmente GSK ou similar no PNI),Unidose,"0,5 mL",Crianças,Dose única aos 15 meses
"SCR (Tríplice Viral: sarampo, caxumba, rubéola atenuada)",Viva atenuada,Bio-Manguinhos / Serum Institute of India,Multidose ou unidose,"0,5 mL","Crianças, adultos","2 doses (12, 15 meses)"
SCRV (Tetraviral: SCR + varicela atenuada),Viva atenuada,Bio-Manguinhos / GSK,Unidose,"0,5 mL",Crianças,Dose aos 15 meses (reforço)
"HPV4 (Papilomavírus humano 6,11,16,18 recombinante)",Recombinante,Instituto Butantan / MSD,Unidose,"0,5 mL","Adolescentes 9-19 anos, grupos especiais até 45 anos",1 dose (9-19 anos); 2-3 doses para grupos de risco
MenACWY (Meningocócica ACWY conjugada),"Conjugada (sorogrupos A,C,W,Y)","Bio-Manguinhos/GSK, FUNED/GSK, Pfizer, Sanofi Medley",Unidose,"0,5 mL",Crianças e adolescentes,Reforço aos 12 meses; 1 dose 11-14 anos
dTpa (Tríplice bacteriana acelular adsorvida),"Adsorvida (difteria, tétano, pertussis acelular)",Instituto Butantan / GSK,Unidose,"0,5 mL","Gestantes, profissionais de saúde",1 dose por gravidez (a partir 20ª semana); reforços a cada 10 anos
dT (Dupla adulto adsorvida),"Adsorvida (difteria, tétano)",Serum Institute of India / Biopharma,Unidose ou multidose,"0,5 mL",Adultos ≥7 anos,3 doses básicas + reforços a cada 10 anos
VOP (Pólio oral atenuada),Viva atenuada,Não especificado,Multidose,"2 gotas (≈0,1 mL)",Crianças (reforço),Reforços aos 15 meses e 4 anos
VPC23 (Pneumocócica polissacarídea 23-valente),Polissacarídea,Não especificado,Unidose,"0,5 mL",Grupos de risco ≥2 anos,Dose única
Antirrábica humana,Inativada,Não especificado,Unidose ou multidose,"0,5-1,0 mL",Exposição à raiva,3-5 doses dependendo do protocolo
Varicela (monovalente atenuada),Viva atenuada,Não especificado,Unidose,"0,5 mL",Grupos de risco,1-2 doses
BCG,Viva atenuada (Mycobacterium bovis),Serum Institute of India,Multidose (10-20 doses),"0,05 mL (<1 ano); 0,1 mL (≥1 ano)","Recém-nascidos, contatos de hanseníase","Dose única ao nascer (até 4 anos, 11 meses e 29 dias)"
Hepatite B (HB recombinante),Recombinante (HBsAg),Instituto Butantan / LG Chem,Multidose (20 doses) ou unidose,"0,5 mL (pediátrica); 1,0 mL (adulto)","Recém-nascidos, crianças, adultos, gestantes, grupos especiais (HIV, diabéticos, transplantados)","3 doses (0, 1, 6 meses); dose ao nascer; 4 doses dobradas para renais crônicos/hemodiálise (0, 1, 2, 6 meses)"
Pentavalente (Penta: DTP + Hib + HB),Adsorvida combinada,Serum Institute of India / Panacea Biotec,Multidose (10 doses),"0,5 mL",Crianças <7 anos,"3 doses (2, 4, 6 meses)"
VIP (Pólio inativada),"Inativada (tipos 1,2,3)",Bio-Manguinhos / Sanofi Pasteur,Multidose ou unidose,"0,5 mL","Crianças; imunodeprimidos, contatos de imunodeprimidos, transplantados","3 doses (2, 4, 6 meses) + reforço aos 15 meses; imunodeprimidos: 3 doses + 2 reforços"
VRH (Rotavírus),Viva atenuada (G1 P[8]),Bio-Manguinhos / GSK,Unidose,"1,5 mL",Crianças,"2 doses (2, 4 meses)"
VPC10 (Pneumocócica 10-valente),Conjugada (10 sorotipos S. pneumoniae),Bio-Manguinhos / GSK,Unidose,"0,5 mL","Crianças; imunodeprimidos, pneumopatias, cardiopatias, diabetes, implantados coclear","3 doses (2, 4, 6 meses) + reforço 12 meses; especiais: 2-3 doses (0, 2 meses) + reforço"
Men C (Meningocócica C),Conjugada (N. meningitidis C),FUNED / GSK,Unidose,"0,5 mL","Crianças; imunodeprimidos, oncológicos, implantados coclear","2 doses (3, 5 meses) + reforço aos 12 meses com MenACWY"
Influenza Trivalente,Inativada fragmentada,Instituto Butantan,Multidose ou unidose,"0,25 mL (6m-2a); 0,5 mL (≥3a)","Crianças 6m-5a, gestantes, idosos ≥60, grupos risco (HIV, transplantados, oncológicos)",Dose anual; 2 doses na primovacinação <9 anos (intervalo 4-6 semanas)
COVID-19 (mRNA),mRNA,Pfizer (Comirnaty) / Moderna (Spikevax),Multidose (6-10 doses),"Pfizer: 0,2 mL (6m-4a); 0,3 mL (≥5a); Moderna: 0,25 mL (6m-11a); 0,5 mL (≥12a)","Crianças 6m-4a, gestantes, idosos ≥60, imunocomprometidos","Pfizer: 3 doses (6,7,9 meses); Moderna: 2 doses (6,7 meses); doses periódicas para risco"
VFA (Febre Amarela),Viva atenuada (17DD),Bio-Manguinhos,Multidose (5-10 doses),"0,5 mL","Crianças ≥9m em áreas endêmicas, viajantes",1 dose aos 9 meses + reforço aos 4 anos
Hepatite A (HA),Inativada,GSK ou similar,Unidose,"0,5 mL","Crianças; hepatopatias, HIV, transplantados, asplenia",Dose única aos 15 meses; especiais: 2 doses (intervalo 6 meses)
SCR (Tríplice Viral),"Viva atenuada (sarampo, caxumba, rubéola)",Bio-Manguinhos / Serum Institute,Multidose ou unidose,"0,5 mL","Crianças, adultos","2 doses (12, 15 meses)"
SCRV (Tetraviral),Viva atenuada (SCR + varicela),Bio-Manguinhos / GSK,Unidose,"0,5 mL",Crianças,Dose aos 15 meses (reforço)
"HPV4 (HPV 6,11,16,18)",Recombinante,Instituto Butantan / MSD,Unidose,"0,5 mL","Adolescentes 9-19a, grupos especiais até 45a; imunodeprimidos",1 dose (9-19a); 2-3 doses para risco (intervalo 4-8 semanas)
MenACWY (Meningocócica ACWY),"Conjugada (A,C,W,Y)","Bio-Manguinhos/GSK, Pfizer, Sanofi",Unidose,"0,5 mL","Crianças, adolescentes; asplenia, deficiência complemento, HIV, transplantados",Reforço aos 12 meses; 1 dose 11-14a; especiais: 2 doses (8 semanas) + reforço a cada 5 anos
dTpa (Tríplice acelular),"Adsorvida (difteria, tétano, pertussis acelular)",Instituto Butantan / GSK,Unidose,"0,5 mL","Gestantes, profissionais saúde, transplantados; após eventos adversos com DTP",1 dose por gravidez (≥20 semanas); reforços 10 anos; infantil: 3 doses + reforços
