
	Prefeitura Municipal de Perobal					
	Secretaria Municipal de Saúde					
	Vigialancia em Saúde					
	Sala de Vacina					
						
						
						
Controle de Estoque						
						
Mes de referencia: 10/2025						
O controle de estoque deve ser realizado no ultimo dia do mês.						
						
Data: ______/_______/202___		Horario: ____:_____				
Responsavel: __________________________________________________________						
						
				Frascos		
Vacina e Insumos	Laboratorio	Lote	Validade	Saldo Anterior	Saldo Atual 	
AGULHA HIPODERMICA EM AÇO INOX SILICONIZADO PONTA BISEL CURTO TRIFACETADO - 24GX3/4						
CLORETO DE SODIO, SOLUÇÃO INJETAVEL - 0,9% - 10ML	FARMACE INDUSTRIA QUIMICO-FARMACEUTICA CEARENSE LTDA	25C8248C	28/02/2027	6		
CLORETO DE SODIO, SOLUÇÃO INJETAVEL - 0,9% - 10ML	FARMACE INDUSTRIA QUIMICO-FARMACEUTICA CEARENSE LTDA	25C20091G	28/02/2027	2		
DILUENTE P/ VACINA BCG - 20 DOSES	SERUM INSTITUTE OF INDIA LTD.	0702S4005	31/05/2026	4		
DILUENTE P/ VACINA BCG - 20 DOSES	SERUM INSTITUTE OF INDIA LTD.	0703S1003	28/02/2027	4		
DILUENTE P/ VACINA CONTRA FEBRE AMARELA - 10 DOSES	FUNDAÇÃO OSWALDO CRUZ	248DFC026D	31/08/2029	13		
DILUENTE P/ VACINA CONTRA FEBRE AMARELA - 10 DOSES	HALEX ISATR INDUSTRIA FARMACEUTICA	4090094	09/09/2026	20		
DILUENTE P/ VACINA CONTRA VARICELA				43		
DILUENTE P/ VACINA TETRA VIRAL 	FUNDAÇÃO OSWALDO CRUZ	H36520	30/06/2029	119		
DILUENTE P/ VACINA TRIPLICE VIRAL - 10 DOSES	SERUM INSTITUTE OF INDIA LTD.	0684S1035	31/12/2028	11		
DILUENTE P/ VACINA TRIPLICE VIRAL - 10 DOSES	SERUM INSTITUTE OF INDIA LTD.	0684S1028	31/12/2028	10		
DILUENTE P/ VACINA TRIPLICE VIRAL - 10 DOSES	SERUM INSTITUTE OF INDIA LTD.	0684S1036	31/12/2028	10		
DILUENTE P/ VACINA TRIPLICE VIRAL - 10 DOSES	SERUM INSTITUTE OF INDIA LTD.	0684S1037	31/12/2028	10		
DILUENTE P/ VACINA DUPLA VIRAL - 10 DOSES	FUNDAÇÃO OSWALDO CRUZ					
SERINGA DESCARTAVEL COM AGULHA 23GX1 - 0,3ML		210919		300		
SERINGA DESCARTAVEL COM AGULHA 23GX1 - 0,3ML		211015		100		
SERINGA ESTERIL DESCARTAVEL 0,05ML 26GX3/8 BCG	ABU DHABI MECICAL DEVICES CO. LLC	642204	30/04/2027	24		
SERINGA ESTERIL DESCARTAVEL 0,05ML 26GX3/8 BCG	ABU DHABI MECICAL DEVICES CO. LLC	642204	30/04/2027	20		
SERINGA DESCARTAVEL SEM AGULHA 3ML - BICO LUER LOCK	SALDANHA RODRIGUES LTDA	I685	31/08/2026	500		
SERINGA ESTERIL DESCARTAVEL - 3ML C/AG 13X4,5	BECTON DICKNSON INDUSTRIAS CIRURGICAS LTDA	1228523	31/08/2026	459		
