VACINA	ESTOQUE MÍNIMO 
AGULHA HIPODERMICA EM AÇO INOX SILICONIZADO PONTA BISEL CURTO TRIFACETADO - 24G X 20X5,5	100
AGULHA HIPODERMICA EM AÇO INOX SILICONIZADO PONTA BISEL CURTO TRIFACETADO - 24GX3/4	100
CLORETO DE SODIO, SOLUÇÃO INJETAVEL - 0,9% - 10ML	0
DILUENTE P/ VACINA BCG - 10 DOSES	0
DILUENTE P/ VACINA BCG - 20 DOSES	2
DILUENTE P/ VACINA CONTRA FEBRE AMARELA - 05 DOSES	10
DILUENTE P/ VACINA CONTRA FEBRE AMARELA - 10 DOSES	10
DILUENTE P/ VACINA CONTRA VARICELA	20
DILUENTE P/ VACINA TETRA VIRAL 	20
DILUENTE P/ VACINA TRIPLICE VIRAL - 05 DOSES	10
DILUENTE P/ VACINA TRIPLICE VIRAL - 10 DOSES	10
DOSADOR PARA APLICAÇÃO DA VACINA CONTRA POLIOMIELITE ORAL (OPV) -01	3
SERINGA DESCARTAVEL COM AGULHA 23GX1 - 0,3ML	0
SERINGA DESCARTAVEL COM AGULHA 23GX1 - 0,5ML	0
SERINGA DESCARTAVEL COM AGULHA 3 ML LUER LOCK - 23GX1 25X0,60	0
SERINGA DESCARTAVEL SEM AGULHA 3ML - BICO LUER LOCK	0
SERINGA ESTERIL DESCARTAVEL - 1ML C/AG 23GX1	0
SERINGA ESTERIL DESCARTAVEL - 3ML C/AG 13X4,5	200
SERINGA ESTERIL DESCARTAVEL - 3ML C/AG 20X5,5	200
SERINGA ESTERIL DESCARTAVEL - 3ML C/AG 22GX1	0
SERINGA ESTERIL DESCARTAVEL 0,05ML 26GX3/8 BCG	20
SERINGA ESTERIL DESCARTAVEL 1ML AG 13X3,8 	200
SERINGA ESTERIL DESCARTAVEL 3 ML C/AG 25X6	200
VACINA BCG INTRADERMICA - 10 DOSES	0
VACINA BCG INTRADERMICA - 20 DOSES	2
VACINA CONTRA FEBRE AMARELA - 05 DOSES	10
VACINA CONTRA FEBRE AMARELA - 10 DOSES	10
VACINA CONTRA HEPATITE "A" (ROTINA PEDRIATRICA) - 01 DOSE	15
VACINA CONTRA HEPATITE "B" - 10 DOSES	5
VACINA CONTRA INFLUENZA (GRIPE) - 10 DOSES	10
VACINA CONTRA PNEUMOCOCICA 23 VALENTE - 01 DOSE	0
VACINA CONTRA POLIO INATIVADA - 10 DOSES	3
VACINA CONTRA RAIVA EM CULTURA CELULAR/VERO - 01 DOSE	5
VACINA CONTRA RAIVA EM CULTURA CELULAR/VERO - 01 DOSE/DILUENTE	5
VACINA CONTRA SARS-COV2 - PEDIATRICA 10 DOSES	0
VACINA CONTRA SARS-COV2 - PEDIATRICA 10 DOSES - MENOR DE 5 ANOS	0
VACINA CONTRA SARS-COV2 - PEDIATRICA - 06 DOSES	0
VACINA CONTRA SARS-COV2 BIVALENTE BA4/BA5 - 6 DOSES	0
VACINA CONTRA SARS-COVA - 06 DOSES ADULTO	0
VACINA CONTRA VARICELA - 01 DOSE	20
VACINA COVID-19-RNAM, MODERNA ( SPIKEVAX) - 0,5ML UNIDOSE	10
VACINA COVID-19-RNAM, MODERNA (SPIKEVAX) - 2,5 ML (05 DOSES)	6
VACINA DENGUE 1, 2, 3 E 4 (ATENUADA) - MONODOSE	15
VACINA DUPLA ADULTO - 10 DOSES	5
VACINA MENINGOCOCICA CONJUGADA ACWY - 01 DOSE FRASCO	20
VACINA MENINGOCOCICA CONJUGADA ACWY - 01 DOSE SERINGA	20
VACINA MENINGOCOCICA CONJUGADA GRUPO C - 01 DOSE	20
VACINA ORAL CONTRA POLIOMIELITE - 20 DOSES	2
VACINA ORAL CONTRA POLIOMIELITE - 25 DOSES	3
VACINA ORAL DE ROTAVIRUS HUMANO UNIDOSE - 01 DOSE	20
VACINA PAPILOMAVIRUS HUMANO 6,11,16,18 (RECOMBINANTE) - 0,5 ML - 01 DOSE	15
VACINA PENTAVALENTE - 01 DOSE	20
VACINA PNEUMOCOCICA CONJUGADA 10 VALENTE - 01 DOSE	20
VACINA PNEUMOCOCICA CONJUGADA 10 VALENTE - 04 DOSES	5
VACINA PNEUMOCOCICA CONJUGADA 13 VALENTE - 01 DOSE	0
VACINA TETRA VIRAL - 01 DOSE	0
VACINA TRIPLICE (DTP) - 10 DOSES	5
VACINA TRIPLICE ACELULAR (DTPA) -  01 DOSE/ADULTO	10
VACINA TRIPLICE VIRAL  - 10 DOSES	10
VACINA TRIPLICE VIRAL - 05 DOSES	10
IMUNOGLOBULINA HUMANA ANTI-TETANICA - 250UI - 1ML	1
VACINA COVID-19 RECOMBINANTE SERUM/ZALIKA - 05 DOSES	1
IMUNOGLOBULINA HUMNA ANTI-RABICA - 300 UI/2ML	
DILUENTE P/ VACINA CONTRA HAEMOPHILUS INFLUENZAE TIPO B	
VACINA CONTRA HAEMOPHILUS INFLUENZAE TIPO B - 01 DOSE	
VACINA CONTRA SARS-COV2 - PEDIATRICA - 06 DOSES	
VACINA CONTRA SERS-COV2 ADULTO E ADOLESCENTE A PARTIR DE 12 ANOS - 30MCG/DOSE - 06 DOSE	
DILUENTE P/ VACINA DUPLA VIRAL - 10 DOSES	
VACINA DUPLA VIRAL - 10 DOSES	
VACINA CONTRA SARS-COV2 - PEDIATRICA 03 DOSES  - MENOR DE 5 ANOS	
SORO ANTITETANICO - 1 AMPOLA	
